 Sonnet Data File
 From: em Version : 14.52
 From Project: matlab_proj
 Data is De-embedded 
 Data File Written: 03/31/2019 16:46:28
Project Date: 3/31/2019 16:46:15
R 50.00000
Frequency (GHz),RE[S11],IM[S11],RE[S12],IM[S12],RE[S21],IM[S21],RE[S22],IM[S22]
3.300000000000000,-2.504141290e-4,-2.828277342e-3,0.9962712830060,-0.086229158802,0.9962712830060,-0.086229158802,-2.392517871e-4,-2.829243459e-3
3.320000000000000,-2.534513372e-4,-2.845246334e-3,0.9962259785904,-0.086750440405,0.9962259785904,-0.086750440405,-2.421538852e-4,-2.846230100e-3
3.340000000000000,-2.565067271e-4,-2.862212211e-3,0.9961804011397,-0.087271698106,0.9961804011397,-0.087271698106,-2.450733631e-4,-2.863213840e-3
3.360000000000000,-2.595802954e-4,-2.879174954e-3,0.9961345506668,-0.087792931760,0.9961345506668,-0.087792931760,-2.480102178e-4,-2.880194662e-3
3.380000000000000,-2.626720390e-4,-2.896134546e-3,0.9960884271844,-0.088314141225,0.9960884271844,-0.088314141225,-2.509644465e-4,-2.897172548e-3
3.400000000000000,-2.657819546e-4,-2.913090968e-3,0.9960420307056,-0.088835326356,0.9960420307056,-0.088835326356,-2.539360461e-4,-2.914147480e-3
3.420000000000000,-2.689100389e-4,-2.930044200e-3,0.9959953612431,-0.089356487011,0.9959953612431,-0.089356487011,-2.569250137e-4,-2.931119441e-3
3.440000000000000,-2.720562887e-4,-2.946994226e-3,0.9959484188102,-0.089877623045,0.9959484188102,-0.089877623045,-2.599313462e-4,-2.948088415e-3
3.460000000000000,-2.752207006e-4,-2.963941024e-3,0.9959012034198,-0.090398734315,0.9959012034198,-0.090398734315,-2.629550406e-4,-2.965054384e-3
3.480000000000000,-2.784032713e-4,-2.980884579e-3,0.9958537150852,-0.090919820677,0.9958537150852,-0.090919820677,-2.659960937e-4,-2.982017329e-3
3.500000000000000,-2.816039974e-4,-2.997824870e-3,0.9958059538197,-0.091440881988,0.9958059538197,-0.091440881988,-2.690545026e-4,-2.998977236e-3
3.520000000000000,-2.848228755e-4,-3.014761879e-3,0.9957579196365,-0.091961918105,0.9957579196365,-0.091961918105,-2.721302640e-4,-3.015934084e-3
3.540000000000000,-2.880599022e-4,-3.031695588e-3,0.9957096125492,-0.092482928883,0.9957096125492,-0.092482928883,-2.752233749e-4,-3.032887859e-3
3.560000000000000,-2.913150741e-4,-3.048625978e-3,0.9956610325711,-0.093003914180,0.9956610325711,-0.093003914180,-2.783338321e-4,-3.049838542e-3
3.580000000000000,-2.945883877e-4,-3.065553030e-3,0.9956121797158,-0.093524873852,0.9956121797158,-0.093524873852,-2.814616324e-4,-3.066786115e-3
3.600000000000000,-2.978798394e-4,-3.082476727e-3,0.9955630539971,-0.094045807755,0.9955630539971,-0.094045807755,-2.846067725e-4,-3.083730563e-3
3.620000000000000,-3.011894259e-4,-3.099397049e-3,0.9955136554285,-0.094566715745,0.9955136554285,-0.094566715745,-2.877692493e-4,-3.100671866e-3
3.640000000000000,-3.045171435e-4,-3.116313977e-3,0.9954639840240,-0.095087597681,0.9954639840240,-0.095087597681,-2.909490594e-4,-3.117610009e-3
3.660000000000000,-3.078629886e-4,-3.133227494e-3,0.9954140397972,-0.095608453417,0.9954140397972,-0.095608453417,-2.941461997e-4,-3.134544974e-3
3.680000000000000,-3.112269577e-4,-3.150137581e-3,0.9953638227622,-0.096129282810,0.9953638227622,-0.096129282810,-2.973606668e-4,-3.151476743e-3
3.700000000000000,-3.146090472e-4,-3.167044219e-3,0.9953133329331,-0.096650085717,0.9953133329331,-0.096650085717,-3.005924573e-4,-3.168405300e-3
3.720000000000000,-3.180092534e-4,-3.183947390e-3,0.9952625703237,-0.097170861995,0.9952625703237,-0.097170861995,-3.038415679e-4,-3.185330627e-3
3.740000000000000,-3.214275726e-4,-3.200847076e-3,0.9952115349484,-0.097691611500,0.9952115349484,-0.097691611500,-3.071079953e-4,-3.202252707e-3
3.760000000000000,-3.248640011e-4,-3.217743257e-3,0.9951602268213,-0.098212334088,0.9951602268213,-0.098212334088,-3.103917360e-4,-3.219171522e-3
3.780000000000000,-3.283185353e-4,-3.234635915e-3,0.9951086459568,-0.098733029617,0.9951086459568,-0.098733029617,-3.136927866e-4,-3.236087055e-3
3.800000000000000,-3.317911714e-4,-3.251525032e-3,0.9950567923692,-0.099253697942,0.9950567923692,-0.099253697942,-3.170111437e-4,-3.252999290e-3
3.820000000000000,-3.352819056e-4,-3.268410589e-3,0.9950046660730,-0.099774338921,0.9950046660730,-0.099774338921,-3.203468037e-4,-3.269908208e-3
3.840000000000000,-3.387907341e-4,-3.285292568e-3,0.9949522670827,-0.100294952409,0.9949522670827,-0.100294952409,-3.236997633e-4,-3.286813793e-3
3.860000000000000,-3.423176531e-4,-3.302170950e-3,0.9948995954129,-0.100815538265,0.9948995954129,-0.100815538265,-3.270700188e-4,-3.303716028e-3
3.880000000000000,-3.458626588e-4,-3.319045717e-3,0.9948466510783,-0.101336096343,0.9948466510783,-0.101336096343,-3.304575668e-4,-3.320614894e-3
3.900000000000000,-3.494257472e-4,-3.335916851e-3,0.9947934340936,-0.101856626501,0.9947934340936,-0.101856626501,-3.338624037e-4,-3.337510376e-3
3.920000000000000,-3.530069146e-4,-3.352784332e-3,0.9947399444737,-0.102377128595,0.9947399444737,-0.102377128595,-3.372845259e-4,-3.354402455e-3
3.940000000000000,-3.566061569e-4,-3.369648142e-3,0.9946861822335,-0.102897602482,0.9946861822335,-0.102897602482,-3.407239297e-4,-3.371291115e-3
3.960000000000000,-3.602234702e-4,-3.386508264e-3,0.9946321473879,-0.103418048019,0.9946321473879,-0.103418048019,-3.441806116e-4,-3.388176338e-3
3.980000000000000,-3.638588507e-4,-3.403364678e-3,0.9945778399520,-0.103938465062,0.9945778399520,-0.103938465062,-3.476545679e-4,-3.405058107e-3
4.000000000000000,-3.675122942e-4,-3.420217365e-3,0.9945232599409,-0.104458853469,0.9945232599409,-0.104458853469,-3.511457949e-4,-3.421936406e-3
4.020000000000001,-3.711837967e-4,-3.437066309e-3,0.9944684073697,-0.104979213094,0.9944684073697,-0.104979213094,-3.546542889e-4,-3.438811215e-3
4.040000000000000,-3.748733543e-4,-3.453911489e-3,0.9944132822539,-0.105499543796,0.9944132822539,-0.105499543796,-3.581800462e-4,-3.455682520e-3
